,num_of_heads,epoch,validation_NDCG,validation_hit,test_NDCG,test_hit
0,10,10,0.21119227720896683,0.3581,0.18876570297057435,0.3252
0,50,50,0.29793603562416,0.4743,0.21763543114585968,0.3881
0,100,100,0.3191613481598687,0.4803,0.23104554396002672,0.4291
0,200,200,0.33488824577455306,0.4991,0.23206268959053009,0.4412
